leader,lag
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,4
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,1
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,8
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,1
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,1
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,1
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,1
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,3
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,3
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,1
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,4
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,9
okx_btc_leads,0
okx_btc_leads,1
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,2
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,1
okx_btc_leads,0
okx_btc_leads,2
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,4
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,6
okx_btc_leads,0
okx_btc_leads,0
okx_btc_leads,0
